5254	0	10	57	65
5188	10	10
5253	0	10	57	65
5331	10	10
5131	10	10
5083	333	344
5316	10	10
5262	180	218
5360	10	10
5357	57	64
5403	64	88
5355	64	88
5229	57	88
5292	27	66
5361	67	67
5377	67	88
5371	88	97
5343	97	100
5384	88	100
5345	131	131
5344	100	102
2	102	107
5391	102	111	122	122
5392	103	107
5395	108	109
5396	108	109
5393	109	110
5385	110	111
5381	110	111
5375	112	112
1424	112	122
5367	112	121
5399	112	122
5369	112	121
5364	112	122
5387	112	121
5363	112	122
5368	121	122
5350	97	99
5348	122	131
5340	131	136
5328	121	137
5337	132	154
5339	132	154
5332	132	137
5329	138	138
5330	138	154
5322	138	154
5320	138	154
5324	138	154
5315	149	154
5293	174	174
5291	174	187
5289	174	187
5268	187	189
5274	189	190
5257	190	192
5273	190	192
5258	174	187	192	206
5235	206	231
5245	192	221
5227	192	231
5228	218	231
5218	231	239
5219	231	239
5215	239	256
5214	239	256
5211	232	263
5217	239	256
5201	256	257
5197	257	263
5187	257	263
5142	263	267
5168	250	303
5186	263	267
5190	261	300
5189	263	267
5127	263	267
5182	257	267
5153	263	267
5173	263	267
5176	285	285
5198	285	300
5183	300	303
5158	303	309
5156	309	319
5160	309	317
5159	309	317
5154	319	319
5126	319	333
5116	319	342
5089	333	344
5118	319	381
5117	319	342
5112	344	344
5113	344	363
5114	363	372
5121	363	372
5109	377	377
5108	377	378
5098	363	396
5100	378	384
5103	378	381
5106	378	381
5101	378	384
5076	380	424
5099	378	384
5091	384	387
5086	387	396
5071	396	403
5073	396	403
5066	408	416
5067	408	421
5064	396	418
5069	408	425
5068	418	418
5062	418	421
5058	421	425
5050	414	447
5057	424	426
5051	426	447
5041	424	500
5049	426	447
5053	447	449
5040	449	481
5135	449	625
5042	449	481
5027	481	492
5028	481	492
5025	492	496
5022	496	500
5015	500	505
5012	505	520
5009	505	520
5000	520	541
5006	519	585
4998	505	585
4999	531	549
4987	549	611
4990	549	585
4989	549	585
4991	585	587
4986	587	611
4967	667	667
4981	600	611
4977	621	621
4950	621	641
4973	621	625
4940	627	667
4974	621	639
4949	627	641
4941	637	667
4943	637	667
4965	627	641
4935	641	685
4946	627	667
4942	627	667
4966	667	667
4931	668	668
4929	668	671
4914	671	713
4928	641	678
4932	678	678
4906	682	682
4900	682	683
4899	682	683
4920	671	713
4893	685	709
4911	644	782
4897	685	709
4918	671	694
4885	694	709
4884	709	715
4913	671	678	694	725
4875	713	723
4869	723	745
4872	723	745
4874	723	727
4871	723	734
4877	715	732
4870	732	734
4867	734	745
4865	745	755
4860	755	774
4862	755	774
4857	774	782
4850	782	838
4858	765	819
4852	819	836
4842	836	866
4830	836	866
4815	836	866
4840	836	842
4822	836	866
4833	842	845
4844	836	836
4847	801	844
4837	845	845
4825	845	849
4821	849	862
4817	849	859
4812	859	866
4819	856	866
4780	862	892
4810	866	872
4811	866	872
4799	874	879
4785	862	892
4805	874	875
4806	874	879
4809	875	875
4786	874	879
4787	877	879
4792	874	880
4791	877	881
4801	874	881
4788	874	879
4800	880	881
4793	878	881
4772	881	888
4771	878	895
4774	881	892
4773	881	888
4784	892	896
4762	892	895
4781	892	896
4741	892	896	905	910
4754	894	896
4789	894	896
4750	896	898
4749	898	900
4737	898	902
4729	900	905
4748	898	902
4738	898	902
4744	900	902
4732	903	923
4731	903	903
4730	905	907
4746	905	910
4742	905	910
4753	895	900	905	910
4698	910	928
4697	910	928
4719	921	928
4686	1075	1088
4720	921	922
4663	910	959
4718	921	922
4691	923	928
4679	910	959
4689	921	928
4706	923	928
4713	905	925
4712	923	928
4696	925	927
4654	910	959
4693	910	921	923	928
4688	927	928
4684	928	931	959	959
4651	931	959
4678	928	959
4656	932	934
4676	959	959
4660	932	934
4671	928	997
4658	934	934
4701	923	928
4666	959	963
4657	963	963
4739	959	1000
4708	963	996
4653	928	997
4803	978	997
4673	996	1000
4826	997	1040
4851	997	1040
4828	997	1040
4672	996	1000
4652	996	1000
4936	641	685
4824	997	1040
4645	1003	1015
4703	1015	1074
4699	1075	1088
4687	997	997
4759	1031	1088
4695	1075	1088
4700	1075	1088
5194	1079	1079
4820	1040	1088
4721	1079	1088
5195	1079	1079
5242	1088	1088
