ID,DOB,mean_temp
502,64,77.54102564
503,64,77.73076923
504,64,78.75641026
505,64,78.93846154
506,64,77.88461538
507,64,77.73076923
508,64,77.73076923
509,64,78.75641026
510,64,78.89487179
511,65,77.63333333
512,65,79.17575758
513,65,78.57692308
514,65,78.54871795
515,65,77.58205128
516,66,77.71025641
517,66,77.73076923
518,66,78.75641026
519,66,78.89487179
520,66,79.03589744
521,67,79.07948718
522,67,79.09487179
523,67,78.71794872
524,67,78.68974359
525,67,77.72307692
526,68,77.57692308
527,68,77.45897436
528,68,77.55641026
529,68,77.81282051
531,69,78.95641026
532,69,78.71794872
533,69,78.68974359
534,69,78.68974359
535,69,77.72307692
536,69,77.57692308
537,69,77.57692308
539,69,77.05833333
541,69,77.49333333
543,69,77.11904762
544,69,77.01428571
545,69,76.75714286
546,69,76.19722222
547,69,76.05555556
548,70,77.54102564
549,70,77.72051282
550,70,77.79487179
551,70,78.78888889
552,70,78.92820513
554,71,78.81794872
555,71,78.78974359
556,71,78.78974359
557,71,77.67619048
561,72,76.9
562,72,76.13076923
563,,77.45128205
564,72,78.07333333
565,72,77.66363636
567,,77.58571429
568,71,77.24166667
570,71,77.57435897
571,71,77.53333333
573,73,76.26944444
574,73,75.82307692
575,73,78.33333333
576,73,78.58717949
577,73,78.58717949
578,73,77.99166667
579,73,77.45
580,73,77.46111111
581,73,76.36666667
582,73,76.13030303
583,74,77.66111111
584,74,77.87222222
585,74,77.59444444
586,74,76.43888889
587,,76.16111111
588,74,76.16111111
589,,75.9974359
590,74,76.91794872
591,74,76.77948718
593,75,76.14871795
594,75,76.57948718
595,75,76.78717949
596,75,76.78717949
597,77,78.63333333
598,77,77.56410256
599,77,77.63333333
600,77,
601,77,77.91212121
602,76,77.41538462
603,76,77.38205128
604,76,77.38205128
605,76,77.07179487
606,76,76.97179487
607,78,78.06153846
608,,78.27435897
610,78,77.24358974
611,78,77.25641026
616,78,78.28717949
617,79,77.63076923
618,72,77.51794872
619,79,77.26666667
620,79,77.1974359
622,79,78.45897436
623,79,78.71794872
624,79,78.71794872
626,79,77.42564103
628,79,78.28717949
629,79,77.21538462
632,79,78.55128205
633,80,77.24871795
634,80,77.1025641
635,80,78.55128205
636,80,78.48717949
637,81,78.48717949
638,81,78.21282051
639,81,78.43333333
640,81,77.61794872
641,,77.31666667
642,81,77.41282051
643,,77.37948718
644,81,76.69487179
645,,75.97948718
646,81,75.86666667
647,,75.86666667
648,81,77.03333333
649,81,77.51794872
650,81,77.44166667
651,82,76.85555556
653,82,76.30555556
656,82,78.01282051
657,82,78.6974359
658,82,78.48205128
659,83,77.40512821
660,83,77.28205128
661,83,77.22307692
662,83,77.13333333
663,85,76.31666667
664,85,78.43846154
665,85,78.74358974
666,85,78.48205128
667,85,77.34615385
668,85,78.60769231
669,85,78.08461538
670,85,78.82051282
671,84,78.08461538
672,84,77.33076923
673,84,77.20769231
674,84,77.14871795
675,84,77.05897436
676,84,77.05897436
677,84,78.60769231
678,86,78.54358974
679,86,78.1974359
680,86,78.41794872
683,86,76.77948718
685,,
686,87,77.44444444
687,87,77.15714286
688,,79.18333333
689,87,77.33333333
690,89,78.35128205
691,89,78.41794872
692,89,78.41794872
693,89,77.6025641
694,88,77.59444444
695,88,76.62820513
696,88,76.41388889
697,89,74
698,89,76.72121212
699,89,78.6969697
700,89,78.37777778
701,89,77.62777778
702,89,77.47575758
703,90,78.1969697
704,,78.4
705,,77.73888889
706,90,77.47575758
708,89,78.7
709,90,78.51111111
710,90,78.38611111
711,90,77.875
712,90,76.73030303
713,90,76.73030303
714,90,77.59333333
715,90,77.59333333
716,91,77.59333333
717,91,77.59333333
718,91,77.59333333
719,91,77.59333333
720,91,77.8
721,91,78.61818182
722,92,76.99444444
723,92,76.50909091
724,92,76.775
725,92,76.78484848
727,92,77.14666667
729,92,78.79722222
730,92,77.5
731,92,77.71333333
732,93,78.19166667
733,93,78.28148148
734,93,79.34444444
735,93,78.84444444
736,93,78.33333333
737,94,78.31111111
738,,78.28148148
739,94,79.34444444
740,,78.84444444
741,94,76.29259259
742,94,76.07777778
743,94,79.32222222
744,,78.5037037
745,95,78.28148148
746,95,78.24444444
747,95,76.92083333
748,95,79.08518519
749,,77.86666667
750,96,80.8
751,96,76.92083333
752,96,79.08518519
753,96,76.46296296
755,,78.19166667
756,97,77.68888889
757,,77.86666667
758,,79.3875
759,,78.03333333
760,,78.03333333
761,,79.57083333
762,97,79.57083333
763,97,77.725
764,,76.85416667
765,,76.85416667
766,98,78.19166667
767,98,77.86666667
768,98,79.3875
769,98,77.725
770,98,77.725
771,98,76.85416667
772,98,79.12916667
773,98,79.12916667
774,98,79.12916667
775,98,78.0625
776,98,78.19166667
777,98,75.92083333
778,98,79.57083333
779,98,79.57083333
780,98,78.03333333
781,98,78.0625
782,98,79.12916667
783,98,79.12916667
784,98,78.0625
785,98,79.12916667
786,99,77.725
787,99,77.86666667
788,99,78.0625
790,100,76.85416667
791,100,76.58571429
792,100,78.19166667
794,,79.12916667
795,100,79.12916667
797,,78.33333333
798,101,76.625
802,,77.86666667
803,102,79.49333333
804,102,79.47333333
805,102,76.625
807,103,79.09333333
808,103,78.1
809,103,78.1
810,103,77.17333333
811,103,79.47333333
812,103,77.86666667
813,103,78.14666667
814,103,78.14666667
815,103,79.09333333
816,104,76.38666667
818,104,78.1
819,104,78.06666667
820,,78.06666667
821,,78.06666667
822,104,78.06666667
823,104,78.06666667
824,104,78.06666667
825,104,78.06666667
827,105,78.11666667
828,105,77.46666667
829,105,77.84166667
830,105,77.84166667
831,105,77.84166667
832,105,77.31666667
833,105,77.31666667
834,,78.10833333
835,106,78.28333333
836,106,76.53333333
837,106,77.46666667
838,,77.86666667
839,106,78.11666667
841,104,78.11666667
842,107,78.21666667
843,107,78.21666667
844,107,78.21666667
845,107,78.10833333
846,107,78.10833333
847,,77.31666667
848,107,77.31666667
849,107,77.84166667
850,107,77.84166667
851,,77.84166667
852,107,79.30833333
853,108,78.75
855,108,76.53333333
856,108,76.53333333
858,,78.11666667
859,108,78.05833333
860,108,78.11666667
862,108,78.10833333
863,,76.65833333
864,108,78.10833333
866,109,78.65833333
867,109,77.86666667
868,109,77.31666667
869,110,78.11666667
870,110,77.31666667
871,110,78.21666667
872,111,79.31666667
873,,78.21666667
874,112,78.10833333
875,112,78.21666667
876,112,77.31666667
877,112,77.31666667
878,112,77.31666667
879,112,77.84166667
881,112,79.30833333
882,,79.30833333
883,112,79.30833333
884,,78.21666667
885,113,78.21666667
886,,78.21666667
887,113,78.10833333
888,114,78.28333333
889,,76.65833333
890,,78.05833333
891,115,79.30833333
892,115,79.30833333
893,115,79.31666667
894,116,79.31666667
895,116,79.31666667
896,116,79.31666667
897,116,78.01666667
898,116,78.01666667
899,116,78.01666667
900,116,77.65833333
901,116,77.65833333
902,116,77.65833333
903,116,78.04444444
904,116,78.04444444
905,,78.11666667
906,116,79.30833333
907,116,78.01666667
908,116,78.01666667
909,116,78.01666667
