cross,ID,age_first_brood,size_at_first_brood,first_brood_size,interbrood,dry_offspring_weight_1,dry_offspring_weight_2
YHF5QM6,868,72,15.97,5,32,6e-04,0.00044
YHF5QM6,872,80,20.93,10,28,NA,0.00102222222222222
YHF5QM6,891,66,18.07,5,24,5e-04,0.0012
YHF5QM6,892,99,21.03,10,33,0.00078,0.000988888888888889
YHF5QM6,893,69,17.73,1,31,2e-04,0.000945454545454545
YHF5QM6,897,97,17.95,12,NA,0.000675,NA
YHF5QM6,898,62,17.13,9,27,0.000488888888888889,0.000621428571428571
YHF5QM6,899,73,17.06,3,NA,0.000633333333333333,NA
YHF5QM6,900,90,15.53,3,42,0.000233333333333333,0.00088
YHF5QM6,901,86,17.31,5,NA,0.00076,NA
YHF5QM6,902,68,18.13,6,31,0.000533333333333333,0.000641666666666667
YHF5QM6,903,65,19.07,8,25,0.00055,0.000666666666666667
YHF5QM6,904,104,22.79,10,28,0.00053,0.000627272727272727
YHF6QM7,502,79,19.39,1,25,8e-04,0.000542857142857143
YHF6QM7,503,98,21.76,12,23,0.000716666666666667,0.000629411764705882
YHF6QM7,504,70,19.32,5,25,0.00056,0.000775
YHF6QM7,505,94,22.36,20,24,0.00072,0.000695833333333333
YHF6QM7,511,76,20.66,6,21,8e-04,0.000523076923076923
YHF6QM7,512,74,20.27,6,23,0.000766666666666667,0.000788888888888889
YHF6QM7,513,70,18.66,5,NA,0.00066,0.00075
YHF6QM7,514,72,18.87,6,32,0.00065,0.00075
YHF6QM7,515,104,22.73,19,25,0.000855555555555556,0.000984210526315789
YHF6QM7,539,107,22.55,7,25,0,0.00123846153846154
YHF6QM7,541,66,21.35,2,32,0,0.00086875
YHF6QM7,578,71,20.33,7,23,0,0.000586363636363636
YHF6QM7,579,70,19.95,2,NA,8e-04,NA
YHF6QM7,580,70,19.72,3,23,0.000733333333333333,0.000730769230769231
YHF6QM7,581,86,19.04,5,31,4e-04,0.000755555555555556
YHF6QM7,582,98,20.35,11,26,0.000772727272727273,8e-04
YHF6QM7,593,97,22.51,7,26,0.000485714285714286,6e-04
YHF6QM7,594,98,23.36,15,27,0.000706666666666667,0.000746153846153846
YHF6QM7,595,72,17.75,4,26,0.00075,0.000911111111111111
YHF6QM7,596,69,18.3,1,20,7e-04,0.00063125
YHF6QM7,598,76,18.22,6,22,0.00075,0.000769230769230769
YHF6QM7,599,70,17.23,9,NA,0.000677777777777778,0.000733333333333333
YHF6QM7,600,63,18.7,1,23,6e-04,0.000753846153846154
YHF6QM7,601,81,18.65,5,32,0.000866666666666667,0.000942857142857143
YHF6QM7,616,87,20.27,11,23,0.000709090909090909,0.000694117647058823
YHF6QM7,659,68,18.51,7,24,7e-04,7e-04
YHF6QM7,660,68,18.83,9,24,0.000722222222222222,0.000688235294117647
YHF6QM7,661,80,18.88,6,24,8e-04,0.000866666666666667
YHF6QM7,662,72,18.33,6,27,4e-04,0.000685714285714286
YHF6QM7,663,72,17.07,3,27,5e-04,0.00065
YHF6QM7,664,92,20.94,5,NA,0.00084,NA
YHF6QM7,665,70,18.55,3,20,0.000666666666666667,0.000688888888888889
YHF6QM7,666,66,17.23,3,24,7e-04,0.000916666666666667
