Cross,Block,ID,Days,Mature_length,Mature_weight
QF4YHM8,4,149,53,14.07,0.061
QF4YHM8,4,150,49,14.95,0.073
QF4YHM8,4,151,,,
QF4YHM8,4,152,,,
QF4YHM8,4,153,,,
QF4YHM8,4,154,,,
QF4YHM8,4,155,,,
QF4YHM8,4,156,57,14.27,0.058
YHF5QM6,3,157,54,13.77,0.06
YHF5QM6,3,158,53,13.94,0.061
YHF5QM6,3,159,48,14.01,0.072
YHF6QM7,9,160,53,15.02,0.073
YHF6QM7,9,161,52,14.06,0.063
QF2YHM2,6,162,46,14.79,0.072
QF2YHM2,6,163,53,14.06,0.067
QF2YHM2,6,164,48,13.64,0.061
QF2YHM2,6,165,48,14.68,0.069
QF2YHM2,6,166,53,14.49,0.062
QF2YHM2,6,167,50,14.29,0.064
QF4YHM8,1,168,48,12.73,0.047
QF4YHM8,1,169,,,
QF4YHM8,1,170,,,
QF4YHM8,1,171,48,14.96,0.082
QF4YHM8,1,172,54,14.7,0.063
QF4YHM8,1,173,52,14.64,0.068
QF4YHM8,1,174,42,13.24,0.05
QF4YHM8,1,175,48,14.08,0.053
YHF6QM7,2,176,48,14.42,0.07
YHF6QM7,2,177,48,13.72,0.059
YHF6QM7,2,178,55,13.34,0.054
YHF6QM7,2,179,48,14.04,0.064
YHF6QM7,2,180,59,13.68,0.056
YHF6QM7,7,181,51,12.83,0.048
YHF6QM7,7,182,55,13.63,0.051
YHF6QM7,7,183,62,13.91,0.056
YHF5QM6,9,184,,,
YHF5QM6,9,185,,,
YHF6QM7,8,186,62,13.9,0.058
YHF6QM7,8,187,54,13.65,0.055
YHF6QM7,8,188,,,
YHF6QM7,8,189,,,
YHF5QM6,8,190,62,13.45,0.052
YHF5QM6,8,191,75,13.55,0.056
YHF5QM6,8,192,79,14.12,0.06
YHF5QM6,8,193,,,
YHF5QM6,8,194,62,14.53,0.063
YHF6QM7,1,195,54,13.82,0.063
YHF6QM7,1,196,61,12.15,0.048
YHF6QM7,1,197,52,12.49,0.05
YHF6QM7,1,198,54,12.87,0.056
YHF6QM7,1,199,52,13.15,0.05
YHF6QM7,6,200,49,14.03,0.058
YHF6QM7,6,201,49,14,0.053
YHF6QM7,6,202,58,12.54,0.05
YHF6QM7,6,203,44,13.03,0.06
YHF6QM7,6,204,51,13.96,0.059
YHF6QM7,10,205,,,
YHF6QM7,10,206,,,
YHF6QM7,10,207,59,13.93,0.065
YHF6QM7,10,208,,,
QF2YHM2,7,209,48,13.54,0.054
QF2YHM2,7,210,41,14.39,0.065
QF2YHM2,7,211,50,13.71,0.055
QF2YHM2,7,212,52,14.67,0.064
QF2YHM2,7,213,,,
QF4YHM8,3,214,46,13.91,0.06
QF4YHM8,3,215,,,
YHF5QM6,6,216,57,13.65,0.055
YHF5QM6,6,217,50,14.05,0.06
YHF5QM6,6,218,62,13.78,0.062
YHF5QM6,6,219,56,14.09,0.056
YHF5QM6,6,220,58,14.19,0.064
YHF5QM6,6,221,55,13.48,0.047
YHF5QM6,6,222,51,13.98,0.056
YHF5QM6,4,223,61,14.66,0.062
YHF5QM6,4,224,61,14.62,0.066
YHF5QM6,4,225,64,14.07,0.054
YHF5QM6,4,226,,,
YHF5QM6,4,227,56,14.72,0.064
YHF5QM6,1,228,52,14.11,0.06
YHF5QM6,1,229,49,14.03,0.058
YHF5QM6,1,230,49,14,0.061
YHF5QM6,1,231,52,14.43,0.07
YHF5QM6,1,232,49,14.29,0.068
QF4YHM8,4,233,48,14.65,0.066
QF4YHM8,4,234,52,14.56,0.065
QF4YHM8,4,235,49,12.66,0.047
YHF5QM6,7,236,60,14.12,0.068
YHF5QM6,7,237,55,15.11,0.072
YHF5QM6,7,238,52,14.6,0.063
YHF5QM6,7,239,49,14.52,0.067
YHF5QM6,7,240,64,14.63,0.059
YHF6QM7,9,241,52,13.62,0.057
YHF6QM7,9,242,57,14.57,0.064
YHF6QM7,9,243,56,14.09,0.067
YHF6QM7,9,244,53,14.03,0.062
YHF6QM7,9,245,,,
YHF6QM7,9,246,48,13.69,0.051
YHF6QM7,9,247,54,14.33,0.062
YHF5QM6,5,248,64,14.42,0.063
YHF5QM6,5,249,,,
YHF5QM6,5,250,50,14.31,0.055
YHF5QM6,5,251,82,13.82,0.063
YHF5QM6,5,252,55,14.39,0.064
YHF5QM6,2,253,57,14.11,0.056
YHF5QM6,2,254,55,13.85,0.059
YHF5QM6,2,255,50,14.3,0.063
YHF5QM6,2,256,48,14.54,0.073
YHF5QM6,2,257,46,14.08,0.066
YHF5QM6,10,258,48,13.95,0.057
YHF5QM6,10,259,47,13.27,0.048
YHF6QM7,12,260,51,14.44,0.057
YHF6QM7,12,261,46,14.15,0.061
YHF6QM7,12,262,54,14.48,0.067
YHF6QM7,12,263,46,14.18,0.062
YHF6QM7,12,264,49,14.36,0.057
QF4YHM8,1,265,46,14.95,0.074
QF4YHM8,1,266,53,15.48,0.08
QF4YHM8,1,267,55,15.45,0.08
QF4YHM8,1,268,46,14.38,0.063
QF4YHM8,1,269,50,14.09,0.061
QF4YHM8,1,270,46,14.34,0.066
QF4YHM8,1,271,48,13.54,0.06
QF4YHM8,1,272,46,14.17,0.059
YHF6QM7,7,273,49,13.18,0.055
YHF6QM7,7,274,,,
YHF6QM7,7,275,45,13.3,0.053
YHF6QM7,7,276,47,13.5,0.062
YHF6QM7,7,277,43,13.63,0.057
YHF6QM7,7,278,42,14.28,0.063
YHF5QM6,9,279,61,14.64,0.077
YHF5QM6,9,280,,,
YHF5QM6,9,281,56,13.95,0.064
YHF6QM7,8,282,,,
YHF6QM7,3,283,46,14.02,0.061
YHF6QM7,3,284,43,14.2,0.057
YHF6QM7,3,285,46,13.59,0.056
YHF6QM7,3,286,48,14.2,0.055
YHF6QM7,3,287,50,13.33,0.05
YHF6QM7,13,288,41,13.39,0.053
YHF6QM7,10,289,54,13.2,0.05
YHF6QM7,10,290,47,13.28,0.049
